Exercise Name,Equipment,Mechanics,Preparation,Execution,Main_muscle,Difficulty (1-5),Secondary Muscles
Front Raise,Barbell,Isolated,Grasp barbell with overhand grip with elbows straight or slightly bent.,Raise barbell forward and upward until upper arms are above horizontal. Lower and repeat.,Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Military Press,Barbell,Compound,"Grasp barbell from rack orcleanbarbell from floor with overhand grip, slightly wider than shoulder width. Position bar in front of neck.",Press bar upward until arms are extended overhead. Lower to front of neck and repeat.,Shoulder,4,"Lateral Deltoid, Triceps Brachii"
Military Press:  Seated,Barbell,Compound,Grasp barbell with slightly wider than shoulder width overhand grip from rack. Position bar near upper chest.,Press bar upward until arms are extended overhead. Return to upper chest and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Front Raise,Cable,Isolated,Sit on seat above twin cable pulleys. Grasp stirrups on each side. Sit upright with arms straight down to each side with palms facing back.,Raise stirrups forward and upward until upper arms are well above horizontal. Lower and repeat.,Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Front Raise:  Alternating,Cable,Isolated,"Stand with low double pulleys behind. Grasp stirrup attachments, one in each hand. Stand away from pulley slightly with arms back somewhat at side and elbows straight or slightly bent.","Raise one stirrup forward and upward until upper arm is well above horizontal. Lower and repeat with opposite arm, alternating between arms.",Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Front Raise:  One Arm,Cable,Isolated,Grasp stirrup attachment. Stand away from pulley slightly with arm back somewhat at side and elbow straight or slightly bent.,Raise stirrup forward and upward until upper arm is well above horizontal. Lower and repeat. Repeat with opposite arm.,Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Shoulder Press,Cable,Compound,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Shoulder Press:  Seated,Cable,Compound,Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Arnold Press,Dumbbell,Compound,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists.",Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.,Shoulder,4,"Lateral Deltoid, Triceps Brachii"
Front Raise,Dumbbell,Isolated,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.,Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Front Raise:  Alternating,Dumbbell,Isolated,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,"Raise one dumbbell forward and upward with palms positioned downward until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.",Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Shoulder Press,Dumbbell,Compound,Position dumbbells to each side of shoulders with elbows below wrists.,Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Shoulder Press:  One Arm,Dumbbell,Compound,Stand with dumbbells positioned near shoulder with elbow below wrists.,Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Military Press,Lever (plate loaded),Compound,Set and grasp lever handles to each side with overhand grip.,Press lever until arms are extended upward. Lower and repeat.,Shoulder,4,"Lateral Deltoid, Triceps Brachii"
Reclined Shoulder Press,Lever (plate loaded),Compound,Lie on back pad facing up. Grasp lever handles on each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Shoulder Press,Lever (plate loaded),Compound,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Reclined Shoulder Press,Lever (selectorized)​​​​​​​,Compound,Lie on back pad facing up. Grasp lever handles to each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Shoulder Press,Lever (selectorized)​​​​​​​,Compound,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Shoulder Press:  Parallel Grip,Lever (selectorized)​​​​​​​,Compound,Sit on seat and grasp parallel bar grips in front of shoulders on each side.,Press lever upward until arms are extended overhead. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Shoulder Press,Sled,Compound,Set and grasp lever handles to each side with overhand grip.,Press handles upward until arms are extended overhead. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Shoulder Press,Smith​​​​​​​,Compound,Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.,Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.,Shoulder,3,"Lateral Deltoid, Triceps Brachii"
Pike Press (between benches),Body Weight,Compound,"Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,Shoulder,4,"Anterior Deltoid, Triceps Brachii"
Pike Press (between benches):  Elevated (between benches),Body Weight,Compound,"Stand between two incline benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches and straighten arms. Position forefeet on opposite ends of bench. Raise rear end high up with arms, back, and knees straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,Shoulder,5,"Anterior Deltoid, Triceps Brachii"
Front Raise,Suspended,Isolated,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward.",Raise arms upward overhead by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat.,Shoulder,2,"Anterior Deltoid, Serratus Anterior"
Upright Row,Barbell,Compound,Grasp bar with shoulder width or slightly narrower overhand grip.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Shoulder,3,"Lateral Deltoid, Upper Trapezius"
Lateral Raise,Cable,Isolated,"With low pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Stand upright.","With elbows slightly bent, raise arms to sides   until elbows are shoulder height. Lower and repeat.",Shoulder,2,"Lateral Deltoid, Supraspinatus"
